Cueanexo,id_depto,Nombre
20022002,2000,JIN A DE 12 (ESC. PRIM. Nº 01 DE 12)
20022003,2000,JIN A DE 12 (ESC. PRIM. Nº 05 DE 12)
20022100,2000,AUSTRALIA
20022300,2000,INST. SAN JOSE DE LA PALABRA DE DIOS
20022400,2000,INSTITUTO INTEGRAL MUNDO NUEVO
20022500,2000,COLEGIO URIARTE
20023000,2000,FELIX DE AZARA
20023100,2000,COLEGIO INGLES HORACIO WATSON
20023200,2000,INSTITUTO ARGENTINO DE ENSEÑANZA SUPERIOR (IADES)
20023300,2000,ESC. DE PERIODISMO DEPORTIVO JOSE R. LOPEZ PAJARO
20023400,2000,INSTITUTO INCORPORADO COLECTIVIDAD HELENICA
20023500,2000,INSTITUTO GRIEGO ATENÁGORAS I
20023600,2000,DR. ALEJANDRO CARBO
20023700,2000,REPUBLICA DE TURQUIA
20023900,2000,JIN B JARDIN DE LOS PUENTES DE 09 (ESC.PRIM.Nº9 DE 9)
20023901,2000,JIN B JARDIN DE LOS PUENTES DE 09 (ESC.PRIM.N°15DE 9)
20024000,2000,ESCUELA DE ENFERMERIA DEL HTAL. ISRAELITA
20024800,2000,COLEG. LA ANUNCIATA
20024900,2000,JIN A DE 01 (ESC. PRIM. Nº 7 DE 01)
20024902,2000,JIN A DE 01 (ESC. PRIM. Nº 8 DE 01)
20024903,2000,JIN A DE 01 (ES. PRIM. Nº 9 DE 1)
20025000,2000,NICOLAS AVELLANEDA
20025100,2000,NICOLAS RODRIGUEZ PEÑA
20025300,2000,INST. SAN JUDAS TADEO
20025400,2000,ISAAC BAKCHELLIAN
20025500,2000,JIC N° 08 DE 19
20025600,2000,IFTS N° 21 DE 08
20026400,2000,INST. VIRGEN DEL VALLE
20026800,2000,DR.ALFREDO LANARI
20027300,2000,ESC.SUPERIOR DE SEGURIDAD E HIGIENE INDUSTRIAL
20027400,2000,JII Nº 12 DE 21
20027500,2000,JIC N° 03 AMALIA FIGUEREDO DE 21
20027600,2000,INSTITUTO AMANECER
20027800,2000,JIN C DE 21 (ESC. PRIM. Nº 14 DE 21)
20027804,2000,JIN C DE 21 (ESC. PRIM. N° 13 DE 21)
20027900,2000,ARMADA ARGENTINA
20028100,2000,MONSEÑOR GUSTAVO FRANCESCHI
20028300,2000,IFTS N° 13 DE 08
20028500,2000,ESC. EDUC. MEDIA Nº 05 JUAN MANUEL FANGIO DE 21
20028600,2000,ESC. DE EDUC. MEDIA Nº 04 DE 21
20028700,2000,INSTITUTO EUSKAL-ECHEA
20028900,2000,FRANCISCO NARCISO LAPRIDA
20029000,2000,JIN B DE 03 (ESC. PRIM. N° 23 DE 3)
20029001,2000,JIN B DE 03 (ESC. PRIM. Nº 9 DE 3)
20029002,2000,JIN B DE 03 (ESC. PRIM. N° 15 DE 3)
20029300,2000,INSTITUTO NUESTRA SEÑORA DEL PILAR
20029400,2000,JIN B EL JARDIN DEL ABASTO DE 02 (N°8)
20029401,2000,JIN B JARDIN DEL ABASTO DE 02 (N°24)
