Cueanexo_EE,Sector_niveles
20124000,primario
20124300,primario
20124500,secundario
20124700,secundario
20124800,jardin
20124800,primario
20124800,secundario
20125000,secundario
20125100,jardin
20125100,primario
20125100,secundario
20125200,jardin
20125200,primario
20125200,secundario
20125300,secundario
20125400,primario
20125500,primario
20125600,jardin
20125600,primario
20126000,primario
20126100,primario
20126200,primario
20126300,primario
20126400,primario
20126500,primario
20126600,jardin
20126600,primario
20126600,secundario
20126700,secundario
20126800,jardin
20126800,primario
20126800,secundario
20126900,jardin
20126900,primario
20126900,secundario
20127000,jardin
20127000,primario
20127000,secundario
20127100,secundario
20127200,primario
20127300,jardin
20127600,jardin
20127600,primario
20127600,secundario
20127800,jardin
20127802,jardin
20127900,primario
20128000,jardin
20128000,primario
20128000,secundario
20128100,secundario
20128800,secundario
20129000,jardin
20129000,primario
20129000,secundario
20129100,primario
20129200,primario
20129400,primario
20129500,jardin
20129600,jardin
20129600,primario
20129700,jardin
20129700,primario
20129700,secundario
20129800,secundario
20129900,jardin
20129900,primario
20129900,secundario
20130000,jardin
20130000,primario
20130000,secundario
20130100,primario
20130200,primario
20130300,secundario
20130400,jardin
20130400,primario
20130400,secundario
20130500,jardin
20130500,primario
20130500,secundario
20130600,jardin
20130600,primario
20130600,secundario
20130700,jardin
20130705,jardin
20130706,jardin
20130707,jardin
20130708,jardin
20130800,primario
20130900,jardin
20131000,jardin
20131000,primario
20131100,jardin
20131200,primario
20131300,jardin
20131400,jardin
20131400,primario
20131400,secundario
20131800,secundario
20131900,jardin
20131900,primario
20131900,secundario
20132000,primario
20132100,primario
20132200,primario
20132300,jardin
20132300,primario
20132300,secundario
20132500,jardin
20132501,jardin
20132502,jardin
20132503,jardin
20132600,primario
20132800,jardin
20132800,primario
20132800,secundario
20132901,jardin
20133000,primario
20133100,secundario
20133200,secundario
20133400,jardin
20133400,primario
20133400,secundario
20133500,jardin
20133500,primario
20133500,secundario
20133600,secundario
20133700,jardin
20133700,primario
20133700,secundario
20133900,jardin
20133900,primario
20133900,secundario
20134000,primario
20134100,jardin
20134100,primario
20134200,jardin
20134200,primario
20134200,secundario
20134300,primario
20134400,primario
20134500,primario
20134500,secundario
20134600,jardin
20134600,primario
20134600,secundario
20134700,primario
20134800,secundario
20135100,primario
20135200,secundario
20135300,primario
20135400,primario
20135500,primario
20135700,primario
20136400,primario
20136500,primario
20136600,primario
20136700,primario
20136800,primario
20136900,jardin
20136901,jardin
20136902,jardin
20136903,jardin
20137000,jardin
20137000,primario
20137000,secundario
20137100,jardin
20137200,jardin
20137201,jardin
20137202,jardin
20137203,jardin
20137300,jardin
20137300,primario
20137300,secundario
20137400,primario
20137500,primario
20138100,jardin
20138100,primario
20138100,secundario
20138400,secundario
20138600,secundario
20138601,primario
20138602,jardin
20139100,jardin
20139100,primario
20139100,secundario
20139200,primario
20139400,primario
20139500,primario
20139700,jardin
20139700,primario
20139700,secundario
20139800,primario
20139900,primario
20140000,jardin
20140100,primario
20140200,primario
20140300,jardin
20140300,primario
20140400,jardin
20140400,primario
20140400,secundario
20140500,jardin
20140600,jardin
20140600,primario
20140800,jardin
20140800,primario
20140800,secundario
20140900,jardin
20140903,jardin
20140905,jardin
20141000,secundario
20141600,secundario
20141900,secundario
20142200,secundario
20143100,jardin
20143100,primario
20143100,secundario
20143300,primario
20143400,primario
20143500,primario
20143600,primario
20144000,jardin
20144100,jardin
20144101,jardin
20144102,jardin
20144103,jardin
20144200,primario
20144600,secundario
20144800,secundario
20144900,primario
20145600,secundario
20145700,secundario
20146700,secundario
20146800,primario
20146900,jardin
20147100,jardin
20147101,jardin
20147200,jardin
20147200,primario
20147200,secundario
20147300,jardin
20147300,primario
20147300,secundario
20147400,jardin
20147400,primario
20147400,secundario
20147500,secundario
20147600,jardin
20147600,primario
20147600,secundario
20147800,jardin
20147801,jardin
20147802,jardin
20147900,jardin
20147900,primario
20147900,secundario
20148000,jardin
20148000,primario
20148000,secundario
20148200,jardin
20148200,primario
20148200,secundario
20148300,jardin
20148300,primario
20148300,secundario
20148500,jardin
20148500,primario
20148500,secundario
20148600,primario
20148700,jardin
20148900,jardin
20148900,primario
20148900,secundario
20149000,jardin
20149000,primario
20149400,primario
20149400,secundario
20149600,secundario
20149700,primario
20149800,primario
20149900,jardin
20149900,primario
20149900,secundario
20150000,primario
20150100,secundario
20150400,jardin
20150400,primario
20150400,secundario
20150500,primario
20150600,jardin
20150600,primario
20150600,secundario
20150700,secundario
20150800,jardin
20150800,primario
20150900,primario
20151000,primario
20151100,jardin
20151100,primario
20151100,secundario
20151200,secundario
20151300,jardin
20151300,primario
20151300,secundario
20151400,jardin
20151400,primario
20151400,secundario
20151600,primario
20151700,secundario
20151800,jardin
20151800,primario
20151800,secundario
20151900,jardin
20151900,primario
20151900,secundario
20152000,jardin
20152000,primario
20152000,secundario
20152100,primario
20152200,jardin
20152201,jardin
20152202,jardin
20152203,jardin
20152204,jardin
20152300,primario
20152400,secundario
20152500,secundario
20152600,primario
20152700,secundario
20153000,jardin
20153000,primario
20153000,secundario
20153100,secundario
20153200,primario
20153300,primario
20153400,jardin
20153400,primario
20153400,secundario
20153500,jardin
20153500,primario
20153600,primario
20153800,jardin
20153800,primario
20153800,secundario
20153900,primario
20154000,primario
20154100,primario
20154400,jardin
20154401,jardin
20154402,jardin
20154403,jardin
20154500,jardin
20154501,jardin
20154503,jardin
20154600,primario
20154800,primario
20154900,primario
20155100,jardin
20155101,jardin
20155102,jardin
20155200,jardin
20155300,secundario
20155400,jardin
20155401,jardin
20155500,primario
20155900,primario
20156300,jardin
20156300,primario
20156300,secundario
20156500,primario
20156700,jardin
20156700,primario
20156700,secundario
20156900,jardin
20156902,jardin
20156903,jardin
20157000,primario
20157100,primario
20157200,primario
20157400,jardin
20157401,jardin
20157402,jardin
20157403,jardin
20157500,primario
20158000,primario
20158100,primario
20158300,jardin
20158301,jardin
20158400,primario
20158500,primario
20158600,jardin
20158600,primario
20158600,secundario
20158700,jardin
20158701,jardin
20158702,jardin
20158800,primario
20158900,primario
20159100,primario
20159200,jardin
20159201,jardin
20159202,jardin
20159203,jardin
20159204,jardin
20159205,jardin
20159300,jardin
20159301,jardin
20159302,jardin
20159500,jardin
20159502,jardin
20159600,jardin
20159601,jardin
20159602,jardin
20159700,jardin
20159701,jardin
20159702,jardin
20159703,jardin
20160000,primario
20160100,jardin
20160101,jardin
20160102,jardin
20160200,primario
20161000,jardin
20161000,primario
20161000,secundario
20161100,jardin
20161100,primario
20161100,secundario
20161500,jardin
20161500,primario
20161600,secundario
20161800,primario
20162100,jardin
20162700,jardin
20162900,jardin
20162900,primario
20162900,secundario
20163700,primario
20163800,jardin
20163801,jardin
20163802,jardin
20163803,jardin
20163804,jardin
20163900,primario
20164000,primario
20164600,jardin
20164600,primario
20164600,secundario
20164800,primario
20165000,jardin
20165200,primario
20165300,jardin
20165301,jardin
20165302,jardin
20165303,jardin
20165600,jardin
20165600,primario
20165800,jardin
